공원명,주소,위도,경도
통복2 수변공원(수촌지구),경기도 평택시 칠원동 286,37.020802,127.113503
물장구 어린이공원(소사벌택지 10호),경기도 평택시 서정동 산110-4임,37.066367,127.048
미로 어린이공원(서재지구 79호),경기도 평택시 고덕면 두릉리 529-1답,37.055543,127.017238
미리내 어린이공원(지제세교지구),경기도 평택시 고덕면 좌교리 399-1답,37.044118,127.013642
바다 어린이공원(현촌지구),경기도 평택시 고덕면 해창리 485-1장,37.041406,127.01406
방아다리 어린이공원(장당 2호),경기도 평택시 고덕면 해창리 437-1답,37.036903,127.017934
방죽골 어린이공원(안중지구 택지개발),경기도 평택시 고덕면 여염리 산60임,37.037592,127.046179
배꽃 어린이공원(소사2지구),경기도 평택시 서정동 산1-1임,37.071496,127.065145
배당지 어린이공원(청북지구 택지개발),경기도 평택시 고덕면 율포리 334-2전,37.051333,127.041019
배미 어린이공원,경기도 평택시 서정동 632답,37.065532,127.043825
백로 어린이공원(청북지구 택지개발),경기도 평택시 서정동 617-7답,37.068493,127.047609
비전 어린이공원,경기도 평택시 고덕면 여염리 326-4답,37.039568,127.045056
