,사업장명,주소,위도,경도
629,"카페쉼(cafe shium,)","경기도 평택시 고덕동 2045-3 에스비씨비즈니스센터 1층 114호,115호 114호,호",37.0436829,127.0549141
632,럭키커피,경기도 평택시 신장동 302-173 298-43외1필지(302-173) 2층 ,37.0799219,127.0501295
633,삼성웰스토리(주)원익IPS카페,경기도 평택시 진위면 청호리 332-1 A동 9호,37.1251687,127.0826972
636,기브유케이크(GIVE U CAKE),경기도 평택시 비전동 1091-5 중앙프라자 ,37.0000184,127.1122495
637,벨커피,경기도 평택시 고덕동 1886-3 어반센터프라자 주건축물제1동 1층 113호,37.0565794,127.0482283
638,빽다방 평택동삭대림점,경기도 평택시 동삭동 0 ,,
639,야콩카페,경기도 평택시 신장동 53-7 주건축물제1동 1층 ,37.0895329,127.0525241
640,와이블랙서정역점,경기도 평택시 서정동 427-15 1층 ,37.0576504,127.0536361
641,카페디히,경기도 평택시 고덕동 2664-1 고덕국제신도시 대광로제비앙 THE ART ,37.0364546,127.0328400
642,번잇로스터스,경기도 평택시 고덕동 1894-3 ,37.0577671,127.0454635
643,모리커피 평택고덕점,경기도 평택시 고덕동 2226-2 창신베스트 1층 104호,37.0388868,127.0482213
644,빽다방평택고덕로데오점,경기도 평택시 고덕동 1887-2 고덕로자벨2 주건축물제1동 121호,37.0573266,127.0478386
649,컴포즈커피평택고덕로데오점,경기도 평택시 고덕동 1886-1 그랜드메디컬타워 101호,37.0565822,127.0474096
655,참붕어,경기도 평택시 서정동 788 현대종합상가 ,37.0702474,127.0572046
656,요거트월드평택고덕점,경기도 평택시 고덕동 2161-1 SM타워 111호,37.0397116,127.0491782
658,텐퍼센트커피고덕에스타워점,경기도 평택시 고덕면 해창리 1272-3 ,37.0281477,127.0166418
659,투머치커피(Toomuchcoffee),경기도 평택시 고덕면 여염리 37-1 1층 ,37.0243787,127.0537684
669,더벤티 평택청북점,경기도 평택시 청북읍 옥길리 1159-2 ,37.0182696,126.9164618
670,셀렉토커피고덕원희캐슬점,"경기도 평택시 고덕동 2045-1 원희캐슬고덕 지식산업센터 1층, 122호 ",37.0443701,127.0553959
671,메가엠지씨커피평택고덕국제신도시점,경기도 평택시 고덕동 2658-6 1층 ,37.0379217,127.0337744
672,반달커피 평택비전점,경기도 평택시 비전동 1038 101호,37.0030568,127.1088243
673,힐링카페,경기도 평택시 안중읍 송담리 835-1 ,36.9809411,126.9288826
675,커피이야기,경기도 평택시 평택동 59-13 ,36.9935006,127.0848809
677,하삼동,경기도 평택시 비전동 1012-2 우성메디피아 ,37.0046414,127.1041654
678,카페인중독 평택동삭점,경기도 평택시 동삭동 384-18 ,37.0183987,127.0942746
679,빽다방 평택동삭센트럴파크점,경기도 평택시 동삭동 384 ,37.0180167,127.0946675
680,퍼핀카페,경기도 평택시 안중읍 송담리 841-11 ,36.9790305,126.9279709
683,메가엠지씨커피 평택고덕로데오점,경기도 평택시 고덕동 1886-2 서정타워1차 1동 101호,37.0565796,127.0478173
684,다인회관,경기도 평택시 합정동 912-7 1층 ,36.9895477,127.1018366
685,공차 평택청북점,경기도 평택시 청북읍 옥길리 1158-1 골드테라스 ,37.0179839,126.9157488
686,투썸 플레이스 평택센트럴자이점,경기도 평택시 동삭동 833-6 ,37.0177731,127.0966434
687,메가엠지씨커피고덕삼성전자사거리점,경기도 평택시 고덕동 2164-3 고덕 헤리움 비즈타워 2차 107호,37.0389429,127.0491774
688,카페오아(cafeOA),"경기도 평택시 고덕면 해창리 1274-3 고덕비즈타워 1층, 119호 ",37.0273002,127.0170691
690,영쓰베이글Young's Bagel,경기도 평택시 비전동 1101-3 104호,37.0001369,127.1156050
693,모두리,경기도 평택시 팽성읍 객사리 145-24 ,36.9653328,127.0568337
695,하하호호,경기도 평택시 지산동 754-22 외1필지(754-31) 1층~2층 ,37.0816082,127.0570615
698,크로플샵,경기도 평택시 고덕면 궁리 75 태평아파트 상가동 109호,37.0165963,127.0337546
702,뚱플,경기도 평택시 신장동 294-1 ,37.0796867,127.0530155
707,아티블랑,경기도 평택시 현덕면 신왕리 302-2 ,36.9363914,126.9620408
708,너티멜로우(NUTTY MELLOW),경기도 평택시 용이동 676-7 ,36.9930523,127.1278509
711,씨드앤너츠평택고덕점,경기도 평택시 고덕동 1887-3 로자벨1차 105호,37.0573263,127.0482411
712,무대소극장,경기도 평택시 신장동 300-53 1층 ,37.0797695,127.0515613
714,컴포즈커피 평택소사벌 상업지구점,경기도 평택시 비전동 1100 미투빌딩 ,37.0001618,127.1140015
715,파티세리쁘제,"경기도 평택시 고덕동 2236-4 2236-5, 1층 ",37.0377273,127.0437182
716,컴포즈커피 평택용죽점,경기도 평택시 용이동 684-1 ,36.9940821,127.1254351
718,제로웨이스트샵1도씨,경기도 평택시 고덕동 1950-1 1층 ,37.0512920,127.0475612
