어린이집명,주소,위도,경도
대림햇살어린이집,"경기도 평택시 현촌1로 7 관리동 (용이동, e편한세상평택)",37.0005554,127.1286473
수피아어린이집,"경기도 평택시 현촌3길 21 관리동 (용이동, 평택용이금호어울림1단지)",37.0016692,127.1307448
푸르지오어린이집,경기도 평택시 현신3길 76 (용이동),36.9975316,127.1426227
다솜어린이집,"경기도 평택시 현신3길 75 109동 104호(용이동, 평택용이푸르지오아파트)",36.9990692,127.1423222
산들바람어린이집,"경기도 평택시 현촌3길 21 116동 103호(용이동, 평택용이금호어울림1단지)",37.0016692,127.1307448
아이원어린이집,"경기도 평택시 현신3길 76 203동 101호(용이동, 평택용이푸르지오2차)",36.9975316,127.1426227
아이편한어린이집,"경기도 평택시 신흥1로 67 113동 103호(용이동, 이편한세상 평택용이)",37.0020299,127.1438265
유보라꿈나무어린이집,경기도 평택시 현신7길 43 용이동492-1번지 용이반도유보라아파트 304-102호,36.9984869,127.1465455
푸르미어린이집,"경기도 평택시 신흥1로 67 103동 102호(용이동, 이편한세상평택 용이1단지아파트)",37.0020299,127.1438265
해피키즈어린이집,"경기도 평택시 현촌3길 21 103동 102호 (용이동, 평택용이금호어울림1단지)",37.0016692,127.1307448
시립SK뷰어린이집,경기도 평택시 고평로 50 관리동,36.9958594,127.0770956
새싹어린이집,경기도 평택시 신대고잔길 16-6,36.9965945,127.0675440
주공예능어린이집,경기도 평택시 원평로25번길 63 주공아파트 1단지 관리동 (군문동),36.9863085,127.0820412
한사랑어린이집,경기도 평택시 원평로31번길 60 (평택동),36.9873238,127.0825553
시립고덕LH2단지어린이집,경기도 평택시 고덕국제대로 232 관리동,37.0581213,127.0447559
시립고덕LH35단지어린이집,경기도 평택시 고덕순환대로 579 관리동,37.0598170,127.0496920
시립고덕리슈빌어린이집,경기도 평택시 고덕국제6로 50 관리동,37.0366446,127.0347199
시립고덕신안별빛어린이집,경기도 평택시 고덕국제대로 203 신안인스빌시그니처아파트 관리동,37.0561803,127.0420726
시립고덕자연앤자이어린이집,경기도 평택시 고덕국제대로 152 관리동,37.0507078,127.0452008
시립고덕파라곤에듀포레어린이집,경기도 평택시 고덕국제8로 91 관리동,37.0410779,127.0249588
시립대광로제비앙어린이집,경기도 평택시 고덕국제6로 49 관리동,37.0365826,127.0328156
시립파밀리에어린이집,경기도 평택시 고덕국제2로 73 신동아파밀리에아파트 관리동,37.0491898,127.0454096
시립평택고덕행복어린이집,경기도 평택시 고덕갈평3로 40 관리동,37.0622142,127.0475229
시립호반써밋어린이집,경기도 평택시 고덕로 366 호반써밋1차 관리동,37.0443065,127.0365089
시립호반써밋에듀파크어린이집,경기도 평택시 고덕로 270 관리동,37.0368459,127.0308273
아이누리어린이집,경기도 평택시 고덕국제6로 49 1424동 103호,37.0365826,127.0328156
오감만족어린이집,경기도 평택시 고덕국제대로 202 287동 103호(고덕엘에이치르플로랑A),37.0562368,127.0455911
평택삼성어린이집,경기도 평택시 삼성로 145 (여염리),37.0372493,127.0492779
시립두릉어린이집,경기도 평택시 고덕면 두릉3길 15,37.0640255,127.0252885
이데아어린이집,경기도 평택시 고덕면 서동대로 2651 태평아파트 단지내,37.0171155,127.0339694
송꿈나무어린이집,경기도 평택시 고덕면 서동대로 2651 103동 103호,37.0171155,127.0339694
하늘숲어린이집,"경기도 평택시 효덕새싹길 55 119동 102호(고덕면, 고덕하늘채시그니처)",37.0202239,127.0345531
시립더샵센트럴2단지어린이집,경기도 평택시 지제동삭2로 177 관리동,37.0184747,127.0926406
풀잎어린이집,"경기도 평택시 동부공원로 15 303동 103호(비전동, 현대비전아파트)",36.9941628,127.1164952
해링턴숲 어린이집,경기도 평택시 소사3로 22 효성해링턴 플레이스 2단지 211동 104호,36.9878033,127.1291729
효성아이어린이집,경기도 평택시 소사3로 22 평택 효성해링턴 플레이스 2단지 211동101호,36.9878033,127.1291729
평택시청직장어린이집,경기도 평택시 중앙로 277,36.9913171,127.1141619
노블키즈어린이집,경기도 평택시 송탄2로31번길 27 (서정동),37.0726501,127.0582497
녹지어린이집,경기도 평택시 점촌로23번길 6 미송상가 A동(서정동),37.0635568,127.0567622
더? 아이뜰 어린이집,"경기도 평택시 서정북로 99 (서정동, 포스코 더샵아파트 관리동)",37.0721127,127.0613847
동그라미어린이집,경기도 평택시 지장로 33 (서정동),37.0691604,127.0584178
명성어린이집,경기도 평택시 복창로 15-16,37.0695688,127.0504415
송탄이화어린이집,경기도 평택시 점촌1로6번길 15 (서정동),37.0613277,127.0552231
하은어린이집,경기도 평택시 복창로 25 (서정동),37.0707626,127.0512943
예꼬어린이집,"경기도 평택시 지장로27번길 90 105동 108호(서정동, 금호아파트)",37.0682840,127.0564480
체리어린이집,"경기도 평택시  특구로27번길 46 7동 107호(서정동, 동산아파트)",37.0690561,127.0609453
금호아이조아어린이집,경기도 평택시 지장로27번길 90 (서정동),37.0682840,127.0564480
시립세교부영2차어린이집,경기도 평택시 세교공원로 33 관리동,37.0037316,127.0814549
시립힐스테이트평택1차어린이집,경기도 평택시 세교6로 46 관리동,37.0120050,127.0879683
시립힐스테이트평택3차어린이집,경기도 평택시 세교6로 19 힐스테이트평택3차 관리동 (세교동),37.0096849,127.0893339
신정어린이집,경기도 평택시 은실고가길 163-5,37.0063914,127.0768566
아이들세상 어린이집,경기도 평택시 세교공원로 65 태영아파트 관리동 (세교동),37.0047314,127.0828116
아이들천국어린이집,경기도 평택시 세교2로 38 개나리아파트 관리동(세교동),37.0008083,127.0823288
꼬마궁전어린이집,"경기도 평택시 세교공원로 66 504동 110호(세교동, 부영1차아파트)",37.0035948,127.0852822
마미빅스맘어린이집,"경기도 평택시 세교공원로 33 305동 102호(세교동, 부영2차아파트)",37.0037316,127.0814549
