단지명,주소,층,계약년월,전용면적(㎡),건축년도,거래금액(만원),위도,경도
미주3(이충),경기도 평택시 이충동 592,7,202408,71.53,1996,"18,900",37.0624674,127.0692942
이충동부영3단지,경기도 평택시 이충동 594-2,5,202408,49.98,1996,"14,000",37.0613960,127.0661722
평택센트럴해링턴플레이스,경기도 평택시 비전동 1089,12,202408,84.9833,2012,"35,500",37.0004280,127.1081602
평택센트럴해링턴플레이스,경기도 평택시 비전동 1089,6,202408,84.9861,2012,"36,000",37.0004280,127.1081602
우림필유,경기도 평택시 비전동 922,10,202408,84.9849,2006,"25,300",37.0010018,127.0904842
성두,경기도 평택시 팽성읍 평궁리 305-1,6,202408,59.81,1995,"6,000",36.9723636,127.0845477
우미린레이크파크,경기도 평택시 죽백동 816,7,202408,84.9866,2017,"39,000",37.0032659,127.1243011
평택소사벌중흥에스-클래스에코시티,경기도 평택시 죽백동 721,13,202408,84.9939,2017,"42,000",37.0085046,127.1101232
평택지제역동문굿모닝힐맘시티2단지,경기도 평택시 칠원동 559,17,202408,59.7109,2019,"29,000",37.0267896,127.1062895
지제역더샵센트럴시티,경기도 평택시 지제동 가-,3,202407,64.9377,2022,"63,800",,
고덕국제신도시아너스,경기도 평택시 고덕동 2461-1,4,202407,59.96,2022,"37,500",37.0439972,127.0235557
현대(824-5),경기도 평택시 안중읍 현화리 824-1,10,202407,59.639,2002,"18,000",36.9834824,126.9169802
더샵지제역센트럴파크1BL,경기도 평택시 동삭동 219-9,10,202407,84.7982,2020,"52,500",37.0141374,127.0903243
모아미래도1차,경기도 평택시 포승읍 도곡리 1113,12,202407,84.9316,2006,"23,200",36.9903657,126.8503472
송화지구우미이노스빌,경기도 평택시 팽성읍 송화리 788-1,13,202407,84.5344,2005,"24,000",36.9606600,127.0597574
평택효성해링턴플레이스1단지,경기도 평택시 소사동 670,16,202407,84.772,2019,"42,000",36.9903797,127.1254279
모아미래도1차,경기도 평택시 포승읍 도곡리 1113,12,202407,84.9316,2006,"23,200",36.9903657,126.8503472
평택지제역동문굿모닝힐맘시티4단지,경기도 평택시 칠원동 595,10,202407,84.9718,2019,"36,000",37.0243447,127.1067737
