시군명,측정소명,설치년도,측정망명,측정일시각,아황산가스농도값(ppm),일산화탄소농도값(ppm),오존농도값(ppm),이산화질소농도값(ppm),미세먼지PM10농도값(μg/m³),미세먼지PM2.5농도값(μg/m³)
안양시,부림동,1998,도시대기,2023-09-19 10:00,0.003,0.3,0.026,0.022,38,24
안양시,호계동,1992,도시대기,2023-09-19 10:00,0.002,0.3,0.026,0.023,31,20
안양시,안양2동,2004,도시대기,2023-09-19 10:00,0.002,0.3,0.028,0.018,8,
안양시,안양8동,1993,도시대기,2023-09-19 09:00,0.001,0.3,0.027,0.017,22,17
안양시,부림동,1998,도시대기,2023-09-19 09:00,0.003,0.3,0.022,0.022,39,25
안양시,호계동,1992,도시대기,2023-09-19 09:00,0.002,0.3,0.019,0.025,30,24
안양시,안양2동,2004,도시대기,2023-09-19 09:00,0.002,0.4,0.015,0.017,20,8
안양시,호계동,1992,도시대기,2023-09-19 08:00,0.002,0.3,0.01,0.031,31,22
안양시,안양2동,2004,도시대기,2023-09-19 08:00,0.002,0.4,0.016,0.017,28,13
안양시,부림동,1998,도시대기,2023-09-19 08:00,0.003,0.3,0.015,0.025,31,28
안양시,안양8동,1993,도시대기,2023-09-19 08:00,0.001,0.3,0.023,0.017,26,18
안양시,안양8동,1993,도시대기,2023-09-19 07:00,0.001,0.3,0.027,0.015,26,19
안양시,부림동,1998,도시대기,2023-09-19 07:00,0.003,0.3,0.019,0.018,34,30
안양시,호계동,1992,도시대기,2023-09-19 07:00,0.002,0.3,0.01,0.027,32,26
안양시,안양2동,2004,도시대기,2023-09-19 07:00,0.002,0.3,0.017,0.02,27,9
안양시,안양2동,2004,도시대기,2023-09-19 06:00,0.002,0.3,0.018,0.013,32,8
안양시,호계동,1992,도시대기,2023-09-19 06:00,0.002,0.3,0.01,0.026,29,23
안양시,부림동,1998,도시대기,2023-09-19 06:00,0.003,0.2,0.022,0.014,27,17
안양시,안양8동,1993,도시대기,2023-09-19 06:00,0.002,0.3,0.026,0.014,24,12
안양시,안양8동,1993,도시대기,2023-09-19 05:00,0.002,0.3,0.026,0.013,19,13
안양시,부림동,1998,도시대기,2023-09-19 05:00,0.003,0.3,0.016,0.012,23,17
안양시,호계동,1992,도시대기,2023-09-19 05:00,0.002,0.3,0.016,0.02,22,11
안양시,안양2동,2004,도시대기,2023-09-19 05:00,0.002,0.3,0.01,0.012,24,7
안양시,호계동,1992,도시대기,2023-09-19 04:00,0.002,0.3,0.019,0.017,11,
안양시,부림동,1998,도시대기,2023-09-19 04:00,0.003,0.3,0.015,0.013,31,15
안양시,안양8동,1993,도시대기,2023-09-19 04:00,0.002,0.3,0.02,0.014,24,15
안양시,안양2동,2004,도시대기,2023-09-19 04:00,0.003,0.3,0.011,0.016,26,11
안양시,안양2동,2004,도시대기,2023-09-19 03:00,0.002,0.3,0.011,0.013,23,12
